"Date Time, GMT+00:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","End Of File"
23/01/2018 21:40:00   ,10.001    ,48.077 ,-0.178     ,                  ,                  ,                ,
23/01/2018 21:50:00   ,9.928     ,49.748 ,0.216      ,                  ,                  ,                ,
23/01/2018 22:00:00   ,9.952     ,48.071 ,-0.225     ,                  ,                  ,                ,
23/01/2018 22:10:00   ,9.879     ,47.171 ,-0.548     ,                  ,                  ,                ,
23/01/2018 22:20:00   ,9.903     ,47.819 ,-0.341     ,                  ,                  ,                ,
23/01/2018 22:30:00   ,9.952     ,47.119 ,-0.495     ,                  ,                  ,                ,
23/01/2018 22:40:00   ,9.854     ,45.411 ,-1.083     ,                  ,                  ,                ,
23/01/2018 22:50:00   ,9.854     ,42.491 ,-1.979     ,                  ,                  ,                ,
23/01/2018 23:00:00   ,9.805     ,43.482 ,-1.713     ,                  ,                  ,                ,
23/01/2018 23:10:00   ,9.854     ,43.986 ,-1.513     ,                  ,                  ,                ,
23/01/2018 23:20:00   ,9.928     ,39.614 ,-2.857     ,                  ,                  ,                ,
23/01/2018 23:30:00   ,9.903     ,41.903 ,-2.122     ,                  ,                  ,                ,
23/01/2018 23:40:00   ,9.731     ,43.038 ,-1.919     ,                  ,                  ,                ,
23/01/2018 23:50:00   ,9.608     ,43.272 ,-1.958     ,                  ,                  ,                ,
24/01/2018 00:00:00   ,9.558     ,43.235 ,-2.014     ,                  ,                  ,                ,
24/01/2018 00:10:00   ,9.485     ,44.220 ,-1.778     ,                  ,                  ,                ,
24/01/2018 00:20:00   ,9.435     ,43.904 ,-1.920     ,                  ,                  ,                ,
24/01/2018 00:30:00   ,9.361     ,42.028 ,-2.573     ,                  ,                  ,                ,
24/01/2018 00:40:00   ,9.287     ,41.269 ,-2.885     ,                  ,                  ,                ,
24/01/2018 00:50:00   ,9.114     ,41.656 ,-2.917     ,                  ,                  ,                ,
24/01/2018 01:00:00   ,8.990     ,42.047 ,-2.904     ,                  ,                  ,                ,
24/01/2018 01:10:00   ,8.792     ,42.522 ,-2.933     ,                  ,                  ,                ,
24/01/2018 01:20:00   ,8.543     ,43.889 ,-2.737     ,                  ,                  ,                ,
24/01/2018 01:30:00   ,8.220     ,45.084 ,-2.674     ,                  ,                  ,                ,
24/01/2018 01:40:00   ,8.070     ,45.803 ,-2.601     ,                  ,                  ,                ,
24/01/2018 01:50:00   ,8.070     ,46.141 ,-2.503     ,                  ,                  ,                ,
24/01/2018 02:00:00   ,8.220     ,46.467 ,-2.272     ,                  ,                  ,                ,
24/01/2018 02:10:00   ,8.369     ,45.903 ,-2.298     ,                  ,                  ,                ,
24/01/2018 02:20:00   ,8.469     ,45.362 ,-2.365     ,                  ,                  ,                ,
24/01/2018 02:30:00   ,8.494     ,45.211 ,-2.386     ,                  ,                  ,                ,
24/01/2018 02:40:00   ,8.319     ,46.755 ,-2.098     ,                  ,                  ,                ,
24/01/2018 02:50:00   ,8.145     ,47.589 ,-2.023     ,                  ,                  ,                ,
24/01/2018 03:00:00   ,7.970     ,49.057 ,-1.780     ,                  ,                  ,                ,
24/01/2018 03:10:00   ,7.945     ,49.690 ,-1.633     ,                  ,                  ,                ,
24/01/2018 03:20:00   ,8.220     ,49.849 ,-1.336     ,                  ,                  ,                ,
24/01/2018 03:30:00   ,8.220     ,50.666 ,-1.120     ,                  ,                  ,                ,
